@relation finishedData-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NumericToNominal-R1-2-weka.filters.unsupervised.attribute.NumericToBinary-R14-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R15-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute Year {2010,2011,2012,2013,2014,2015,2016,2017,2018}
@attribute Month {3,6,9,12}
@attribute City {Wellington,Auckland,Otago}
@attribute 'Region Average.Rent' numeric
@attribute Number.of.Bonds {1837,2002,2036,2062,2075,2095,2159,2215,2254,2300,2337,2381,2382,2412,2414,2417,2465,2562,2569,2680,2751,2827,2839,2858,2876,2921,3030,3126,3204,3301,3432,3489,3985,4074,4087,4102,4190,4283,4324,4340,4429,4514,4672,4770,4803,4882,5005,5016,5019,5107,5121,5309,5359,5455,5673,5902,6151,6456,6552,6627,6719,6846,6868,6893,7280,11341,12176,12244,12456,13092,13132,13252,13898,14105,14181,14211,14316,14358,14658,14724,14837,14875,14881,14892,14999,15249,15307,15449,15491,15538,15543,15547,15697,16329,16508,16608,18322,18489}
@attribute Number.of.Students..Bachelors.only. {'15,800','26,580','16,420','26,630','15,645','16,240','26,835','15,400','16,165','15,335','26,905','16,060','15,145','26,800','16,150','15,260','26,640','15,700','15,380','25,935','15,830','15,510','25,800','15,715','15,434','16,035','16,305'}
@attribute Student..Allowance.average {$170.68,$173.41,$175.38,$173.29,$175.88,$173.82,$178.94,$183.06,$230.12}
@attribute Student.Accomodation..Benefit.Average {$35.03,35.47,35.91,35.18,35.71,38.06,39.35,60}
@attribute Property_Type {House,'Room or Boarding House','Flat or Apartment',Hostel}
@attribute Number.of.Bedrooms {1,2,3,4,5}
@attribute Property.Average.Rent numeric
@attribute Bonds {5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,56,57,58,59,60,61,62,63,64,66,67,68,69,71,73,75,76,77,78,80,83,84,85,86,87,88,89,90,91,94,95,96,99,100,101,103,106,109,110,111,113,115,116,121,122,123,124,127,129,135,136,137,138,141,142,143,144,146,148,149,152,153,154,157,158,160,161,166,167,168,169,170,171,172,181,184,190,192,195,196,197,203,205,208,209,217,218,225,230,233,234,237,252,255,258,263,271,276,295,301,308,310,314,316,325,326,331,332,334,336,338,342,358,374,376,379,381,390,399,401,402,405,412,436,438,441,445,453,454,461,462,469,483,490,491,498,501,520,524,525,534,536,543,545,562,563,568,578,580,588,608,630,644,648,654,655,678,680,694,704,759,769,777,790,877,917}
@attribute 'Student/Bond Ratio' numeric
@attribute 'Above National Average (City)_binarized' {0,1}
@attribute Class {0,1}

@data
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,House,1,104,5,0.000763,1,1
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,'Room or Boarding House',1,130,441,0.028546,1,1
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,'Room or Boarding House',1,170,209,0.059903,0,1
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,House,1,174,7,0.002006,0,1
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,'Room or Boarding House',1,178,441,0.067308,1,0
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,'Flat or Apartment',1,196,26,0.007452,0,1
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,'Flat or Apartment',2,233,16,0.004586,0,0
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,'Flat or Apartment',1,276,255,0.038919,1,1
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,House,5,284,8,0.001221,1,0
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,House,3,293,5,0.001433,0,0
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,House,1,294,5,0.000324,1,0
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,House,2,298,11,0.003153,0,1
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,'Flat or Apartment',1,304,917,0.059357,1,1
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,House,3,326,38,0.0058,1,0
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,'Flat or Apartment',3,330,12,0.003439,1,0
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,'Flat or Apartment',2,370,648,0.041944,1,1
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,'Flat or Apartment',4,388,19,0.005446,0,0
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,House,3,404,5,0.000324,1,0
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,House,4,420,19,0.005446,0,0
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,House,4,420,20,0.003053,1,0
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,'Flat or Apartment',2,426,203,0.030983,1,0
2010,3,Wellington,374,6552,'15,800',$170.68,$35.03,House,2,450,32,0.004884,1,0
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,House,2,466,64,0.004143,1,0
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,'Flat or Apartment',3,500,56,0.003625,1,0
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,'Flat or Apartment',4,514,5,0.000324,1,0
2010,3,Auckland,385,15449,'26,580',$170.68,$35.03,House,4,514,13,0.000841,1,0
2010,3,Otago,280,3489,'16,420',$170.68,$35.03,'Flat or Apartment',5,519,22,0.006306,0,0
